Annotation_source,taxa,Kingdom,Phylum,Class,Order,Family,Genus,Species,Animal_pathogen,Plant_pathogen,pathogen_type
gtdb_bac_meta-ssu_silva_taxonomy,Maribacter sp. 1_2014MBL_MicDiv,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,Maribacter sp. 1_2014MBL_MicDiv,NA,NA,NA
gtdb_bac_meta-lsu_silva_23s_taxonomy,Serratia sp. JKS000199,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia sp. JKS000199,NA,NA,NA
microbe-directory,Babesia bovis,Eukaryota,Apicomplexa,Aconoidasida,Aconoidasida noname,Babesiidae,Babesia,Babesia bovis,1,0,1
microbe-directory,Choristoneura fumiferana multiple nucleopolyhedrovirus,Viruses,Viruses noname,Viruses noname,Viruses noname,Baculoviridae,Alphabaculovirus,Choristoneura fumiferana multiple nucleopolyhedrovirus,NA,1,2
gtdb_bac_meta-ssu_silva_taxonomy,Paenibacillus sp. FSL H7-0737,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus sp. FSL H7-0737,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Massilia oculi,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia oculi,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Rubinisphaera brasiliensis,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rubinisphaera,Rubinisphaera brasiliensis,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Dietzia sp. oral taxon 368,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Dietziaceae,Dietzia,Dietzia sp. oral taxon 368,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Moraxella bovoculi,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella bovoculi,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Nostoc linckia,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Nostoc,Nostoc linckia,NA,NA,NA
microbe-directory,Mesorhizobium amorphae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium amorphae,NA,NA,NA
microbe-directory,Exiguobacterium sibiricum,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales noname,Exiguobacterium,Exiguobacterium sibiricum,NA,NA,NA
gtdb_bac_meta-lsu_silva_23s_taxonomy,Clostridium sp. BNL1100,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hungateiclostridiaceae,Ruminiclostridium,Clostridium sp. BNL1100,NA,NA,NA
gtdb_bac_meta-lsu_silva_23s_taxonomy,Pseudomonas sp. LG1E9,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. LG1E9,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Micromonospora echinaurantiaca,Bacteria,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora echinaurantiaca,NA,NA,NA
microbe-directory,Halothiobacillus neapolitanus,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Halothiobacillaceae,Halothiobacillus,Halothiobacillus neapolitanus,NA,NA,NA
